Timestamp,Username,Name,Branch ,Gmail,Age Group,Current Occupation: (Select one),Which mode of Learning do you personally prefer to enhance your Skills?,Which mode do you think is the Future of Learning?,Preferred Learning Method: (Select all that apply),Course Format: (Select one),Learning Pace: (Select one), Interest,Your Knowledge Level: (Select one),Importance of Reviews and Ratings: (Select one),Course Cost: (Select your preference),Course Duration: (Select your preference),Preferred Online Platform Features: (Select all that apply),Trainer Expertise: (Select all that apply),"Before using/purchasing a course, what are the parameters you consider most? (Choose any 2)",Which online Learning Platform due to prefer ?,How clear were the learning objectives for this course/module? ,"To what extent did the assessments (quizzes, assignments) accurately reflect the course content? (Select one)",How helpful was the feedback you received on your assessments in understanding your strengths and weaknesses?,"Were you aware of the metrics used to track your performance (scores, completion rates)?","How engaging and interesting did you find the course content (presentations, videos, activities)? ","Did the delivery format (e.g., self-paced, instructor-led) match your learning style and preferences? ","Did the platform offer opportunities for interaction (discussions, forums, quizzes)? ",Did you participate in any collaborative activities with other learners (if available)? ,"Did the platform provide any features to help you stay motivated throughout the course (e.g., badges, points)?",Did the platform offer any personalized learning paths or recommendations based on your performance?,"If the platform offered personalized features, how effective were they in keeping you engaged? ",How satisfied were you with the learning experience on this platform? ,At what point in the course did you decide to stop participating(remember the course that you enrolled and then dropped it),What was the primary reason you stopped participating in the course? (remember the course that you enrolled and then dropped it),Please share any suggestions you have on how the platform could better track performance or increase engagement.,Is there anything else you would like to share about your experience with this online course?
2024/04/02 4:08:18 PM GMT+5:30,user1@example.com,User1,CSE,user1@gmail.com,18-24,Other,Online,Online,Video Lectures;Reading Materials;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),"Either, based on value",Flexible (Variable Duration),Mobile App Accessibility,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery),Ratings;Self- assessment from the overview;Number of Ratings,coursera,Very Clear,,,,,,,,,,,,,,,
2024/04/02 4:15:55 PM GMT+5:30,user2@example.com,User2,IT,user2@gmail.com,25-34,Other,Online,Online,Video Lectures,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design)",Advanced (Solid Foundational Knowledge),Very Important (Highly influence decision),Free,Short (Less than 4 weeks),Mobile App Accessibility;Offline Content Availability,Industry Expert (Extensive Real-world Experience);Strong Communication Skills (Clear and Engaging Delivery),Ratings;Self- assessment from the overview;Duration,coursera,Somewhat Clear,Somewhat Accurate,Somewhat Helpful,No,Somewhat Engaging,Good Match,"Yes, occasionally","Yes, occasionally","Yes, and they were helpful","Yes, and they were helpful",Very Effective,Somewhat Satisfied,(c) Midway through the course,(f) Unexpected personal circumstances prevented me from continuing.,,
2024/04/02 4:20:09 PM GMT+5:30,user3@example.com,User3,CSE,user3@gmail.com,35-44,Under Graduate Student,Offline,Offline,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Data Science (Specify sub-fields like Machine Learning, Deep Learning)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),"Either, based on value",Long (More than 12 weeks),Community Forums/Discussion Boards,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Ratings;Self- assessment from the overview;Credits/ Certifications;Number of Ratings;Duration,upGrad,,Completely Accurate,Very Helpful,Yes,,Excellent Match,"Yes, frequently","Yes, occasionally","Yes, and they were helpful","Yes, and they were helpful",Very Effective,Somewhat Satisfied,(b) After completing a few modules,(a) The course content was too difficult.;(b) I found the material to be unclear or poorly explained.;(c) The course was not engaging or interesting enough.;(d) The workload or time commitment was too much for me.;(e) I experienced technical difficulties with the platform.;(f) Unexpected personal circumstances prevented me from continuing.;(g) I found a more relevant course elsewhere.,,
2024/04/02 4:33:35 PM GMT+5:30,user4@example.com,User4,AIML,user4@gmail.com,18-24,Post Graduate Student,Online,Online,Video Lectures;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),Paid,Short (Less than 4 weeks),Mobile App Accessibility;Community Forums/Discussion Boards;Career Support Services,Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery),Self- assessment from the overview;Number of Ratings;Duration,Youtube ,Somewhat Clear,Somewhat Accurate,Somewhat Helpful,Yes,Very Engaging,Good Match,"Yes, occasionally","Yes, frequently","Yes, and they were helpful","Yes, but not helpful",Somewhat Effective,Somewhat Satisfied,(b) After completing a few modules,(b) I found the material to be unclear or poorly explained.;(c) The course was not engaging or interesting enough.;(g) I found a more relevant course elsewhere.,Rating at every module after completion ,No
2024/04/02 4:39:13 PM GMT+5:30,user5@example.com,User5,CS,user5@gmail.com,25-34,Post Graduate Student,Offline,Offline,live classes ,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Data Science (Specify sub-fields like Machine Learning, Deep Learning)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),Free,Flexible (Variable Duration),Offline Content Availability,Industry Expert (Extensive Real-world Experience);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Ratings;Number of Ratings;Duration,coursera,Very Clear,Completely Accurate,Somewhat Helpful,Yes,Somewhat Engaging,Good Match,"Yes, occasionally",No,"Yes, but not helpful","Yes, but not helpful",Somewhat Effective,Somewhat Satisfied,(b) After completing a few modules,(b) I found the material to be unclear or poorly explained.;(e) I experienced technical difficulties with the platform.;(f) Unexpected personal circumstances prevented me from continuing.,na,na
2024/04/02 4:40:31 PM GMT+5:30,user6@example.com,User6,Cse,user6@gmail.com,18-24,Post Graduate Student,Offline,Online,"Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples;Games, hands-on ",Online (Synchronous/Asynchronous),Scheduled Sessions (Fixed Start/End Dates),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),Paid,Medium (4-12 weeks),Mobile App Accessibility;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Strong Communication Skills (Clear and Engaging Delivery),Ratings;Credits/ Certifications;Duration,NPTEL,Somewhat Clear,Completely Accurate,Very Helpful,No,Very Engaging,Excellent Match,"Yes, frequently","Yes, frequently","Yes, and they were helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(b) After completing a few modules,(d) The workload or time commitment was too much for me.;(f) Unexpected personal circumstances prevented me from continuing.,There are no suggestions ,No
2024/04/02 5:01:48 PM GMT+5:30,user7@example.com,User7,IT,user7@gmail.com,25-34,Under Graduate Student,Offline,Offline,Video Lectures;Interactive Exercises;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Programming Languages (Specify preferred languages);Data Science (Specify sub-fields like Machine Learning, Deep Learning)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),Paid,Flexible (Variable Duration),Mobile App Accessibility;Offline Content Availability,Industry Expert (Extensive Real-world Experience),Self- assessment from the overview,NPTEL,Somewhat Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Good Match,"Yes, frequently",No,"Yes, and they were helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(b) After completing a few modules,(e) I experienced technical difficulties with the platform.;(g) I found a more relevant course elsewhere.,,
2024/04/02 5:08:13 PM GMT+5:30,user8@example.com,User8,Information Technology ,user8@gmail.com,18-24,Other,Offline,Online,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Data Science (Specify sub-fields like Machine Learning, Deep Learning);Business (Specify areas like Marketing, Finance, Management);Design (Specify areas like Graphic Design, UX/UI Design)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),Free,Long (More than 12 weeks),Mobile App Accessibility,Industry Expert (Extensive Real-world Experience);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Duration,coursera,Somewhat Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Excellent Match,"Yes, occasionally","Yes, occasionally","Yes, but not helpful",No,Somewhat Effective,Very Satisfied,(b) After completing a few modules,(c) The course was not engaging or interesting enough.,,
2024/04/02 5:12:16 PM GMT+5:30,user9@example.com,User9,IT,user9@gmail.com,25-34,Under Graduate Student,Offline,Offline,Video Lectures;Interactive Exercises;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Programming Languages (Specify preferred languages);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),"Either, based on value",Medium (4-12 weeks),Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience),Ratings;Self- assessment from the overview;Credits/ Certifications;Duration,Udemy,Somewhat Clear,Somewhat Accurate,Somewhat Helpful,Yes,Somewhat Engaging,Good Match,"Yes, occasionally","Yes, occasionally","Yes, but not helpful","Yes, but not helpful",Somewhat Effective,Somewhat Satisfied,(c) Midway through the course,(d) The workload or time commitment was too much for me.,,
2024/04/02 5:12:30 PM GMT+5:30,user10@example.com,User10,pH.d,user10@gmail.com,25-34,Working Professional,Online,Online,Interactive Exercises,Online (Synchronous/Asynchronous),Scheduled Sessions (Fixed Start/End Dates),"Business (Specify areas like Marketing, Finance, Management)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),Paid,Flexible (Variable Duration),Live Q&A Sessions with Instructors,Academic Background (Strong Theoretical Knowledge),Self- assessment from the overview,Byjus,Very Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Good Match,"Yes, frequently","Yes, occasionally","Yes, but not helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(d) Almost at the end of the course,(f) Unexpected personal circumstances prevented me from continuing.,,No
